val_file,closest_train_file,residual
cast_ok_0_5815.jpeg,cast_ok_0_3463.jpeg,0.937
cast_def_0_26.jpeg,cast_def_0_339.jpeg,1.972
cast_ok_0_9934.jpeg,cast_ok_0_5571.jpeg,2.670
cast_def_0_9825.jpeg,cast_def_0_3122.jpeg,2.746
cast_def_0_2082.jpeg,cast_def_0_3122.jpeg,2.781
cast_ok_0_9918.jpeg,cast_ok_0_2120.jpeg,2.840
cast_ok_0_6331.jpeg,cast_ok_0_7849.jpeg,2.868
cast_ok_0_7089.jpeg,cast_ok_0_1674.jpeg,2.925
cast_ok_0_7901.jpeg,cast_ok_0_1057.jpeg,2.982
cast_def_0_3365.jpeg,cast_def_0_7653.jpeg,3.054
cast_ok_0_8535.jpeg,cast_ok_0_7849.jpeg,3.158
cast_ok_0_3440.jpeg,cast_ok_0_7577.jpeg,3.460
cast_def_0_732.jpeg,cast_def_0_9481.jpeg,3.707
cast_ok_0_9552.jpeg,cast_ok_0_1020.jpeg,3.799
cast_ok_0_7408.jpeg,cast_ok_0_6718.jpeg,3.931
cast_ok_0_7534.jpeg,cast_ok_0_2085.jpeg,3.967
cast_ok_0_9955.jpeg,cast_ok_0_6718.jpeg,4.119
cast_ok_0_3799.jpeg,cast_ok_0_7849.jpeg,4.263
cast_ok_0_7312.jpeg,cast_ok_0_6523.jpeg,4.290
cast_ok_0_7324.jpeg,cast_ok_0_6294.jpeg,4.317
cast_ok_0_273.jpeg,cast_ok_0_3193.jpeg,4.370
cast_ok_0_5303.jpeg,cast_ok_0_6718.jpeg,4.381
cast_ok_0_6551.jpeg,cast_ok_0_6294.jpeg,4.402
cast_ok_0_3916.jpeg,cast_ok_0_6718.jpeg,4.410
cast_ok_0_4170.jpeg,cast_ok_0_6718.jpeg,4.425
cast_ok_0_7632.jpeg,cast_ok_0_5314.jpeg,4.433
cast_ok_0_6950.jpeg,cast_ok_0_3346.jpeg,4.467
cast_ok_0_4373.jpeg,cast_ok_0_7849.jpeg,4.473
cast_def_0_4592.jpeg,cast_def_0_6037.jpeg,4.475
cast_ok_0_3962.jpeg,cast_ok_0_4183.jpeg,4.522
cast_ok_0_2531.jpeg,cast_ok_0_6932.jpeg,4.575
