id,file,cluster,cluster_name
1,data_clean\val\def_front\cast_def_0_144.jpeg,0,frayed_edge
2,data_clean\train\def_front\cast_def_0_2552.jpeg,0,frayed_edge
3,data_clean\val\def_front\cast_def_0_1239.jpeg,0,frayed_edge
4,data_clean\train\def_front\cast_def_0_4194.jpeg,0,frayed_edge
5,data_clean\train\def_front\cast_def_0_3131.jpeg,1,surface_spot
6,data_clean\train\def_front\cast_def_0_7325.jpeg,1,surface_spot
7,data_clean\train\def_front\cast_def_0_6502.jpeg,1,surface_spot
8,data_clean\train\def_front\cast_def_0_7454.jpeg,0,frayed_edge
9,data_clean\train\def_front\cast_def_0_2710.jpeg,0,frayed_edge
10,data_clean\train\def_front\cast_def_0_7677.jpeg,1,surface_spot
11,data_clean\train\def_front\cast_def_0_7809.jpeg,0,frayed_edge
12,data_clean\train\def_front\cast_def_0_3623.jpeg,1,surface_spot
13,data_clean\train\def_front\cast_def_0_2833.jpeg,0,frayed_edge
14,data_clean\train\def_front\cast_def_0_4932.jpeg,1,surface_spot
15,data_clean\train\def_front\cast_def_0_826.jpeg,1,surface_spot
16,data_clean\train\def_front\cast_def_0_2071.jpeg,0,frayed_edge
17,data_clean\train\def_front\cast_def_0_6189.jpeg,1,surface_spot
18,data_clean\train\def_front\cast_def_0_3155.jpeg,0,frayed_edge
19,data_clean\val\def_front\cast_def_0_1553.jpeg,0,frayed_edge
20,data_clean\train\def_front\cast_def_0_1895.jpeg,0,frayed_edge
21,data_clean\train\def_front\cast_def_0_7847.jpeg,1,surface_spot
22,data_clean\val\def_front\cast_def_0_555.jpeg,0,frayed_edge
23,data_clean\train\def_front\cast_def_0_5847.jpeg,1,surface_spot
24,data_clean\train\def_front\cast_def_0_363.jpeg,0,frayed_edge
25,data_clean\train\def_front\cast_def_0_2052.jpeg,0,frayed_edge
26,data_clean\train\def_front\cast_def_0_5634.jpeg,1,surface_spot
27,data_clean\train\def_front\cast_def_0_4753.jpeg,0,frayed_edge
28,data_clean\train\def_front\cast_def_0_9775.jpeg,0,frayed_edge
29,data_clean\train\def_front\cast_def_0_3553.jpeg,0,frayed_edge
30,data_clean\train\def_front\cast_def_0_2381.jpeg,1,surface_spot
31,data_clean\train\def_front\cast_def_0_9150.jpeg,1,surface_spot
32,data_clean\train\def_front\cast_def_0_5848.jpeg,1,surface_spot
33,data_clean\train\def_front\cast_def_0_7884.jpeg,0,frayed_edge
34,data_clean\train\def_front\cast_def_0_3236.jpeg,0,frayed_edge
35,data_clean\train\def_front\cast_def_0_2108.jpeg,1,surface_spot
36,data_clean\val\def_front\cast_def_0_1500.jpeg,0,frayed_edge
37,data_clean\train\def_front\cast_def_0_8175.jpeg,1,surface_spot
38,data_clean\train\def_front\cast_def_0_2768.jpeg,0,frayed_edge
39,data_clean\train\def_front\cast_def_0_9277.jpeg,1,surface_spot
40,data_clean\val\def_front\cast_def_0_85.jpeg,0,frayed_edge
41,data_clean\train\def_front\cast_def_0_7822.jpeg,0,frayed_edge
42,data_clean\train\def_front\cast_def_0_2527.jpeg,1,surface_spot
43,data_clean\train\def_front\cast_def_0_6374.jpeg,0,frayed_edge
44,data_clean\train\def_front\cast_def_0_9523.jpeg,1,surface_spot
45,data_clean\train\def_front\cast_def_0_6091.jpeg,0,frayed_edge
46,data_clean\val\def_front\new__0_2091.jpeg,1,surface_spot
47,data_clean\train\def_front\cast_def_0_7282.jpeg,1,surface_spot
48,data_clean\val\def_front\cast_def_0_811.jpeg,1,surface_spot
49,data_clean\train\def_front\cast_def_0_9495.jpeg,0,frayed_edge
50,data_clean\train\def_front\cast_def_0_2240.jpeg,0,frayed_edge
51,data_clean\train\def_front\cast_def_0_7635.jpeg,1,surface_spot
52,data_clean\train\def_front\cast_def_0_4800.jpeg,0,frayed_edge
53,data_clean\train\def_front\cast_def_0_9893.jpeg,0,frayed_edge
54,data_clean\train\def_front\cast_def_0_9996.jpeg,0,frayed_edge
55,data_clean\val\def_front\cast_def_0_5251.jpeg,0,frayed_edge
56,data_clean\train\def_front\cast_def_0_9697.jpeg,1,surface_spot
57,data_clean\train\def_front\cast_def_0_5022.jpeg,0,frayed_edge
58,data_clean\train\def_front\cast_def_0_3937.jpeg,1,surface_spot
59,data_clean\train\def_front\cast_def_0_9838.jpeg,1,surface_spot
60,data_clean\train\def_front\cast_def_0_8290.jpeg,1,surface_spot
61,data_clean\train\def_front\cast_def_0_215.jpeg,1,surface_spot
62,data_clean\train\def_front\cast_def_0_2469.jpeg,1,surface_spot
63,data_clean\train\def_front\cast_def_0_4313.jpeg,1,surface_spot
64,data_clean\train\def_front\cast_def_0_3373.jpeg,0,frayed_edge
65,data_clean\train\def_front\cast_def_0_8951.jpeg,1,surface_spot
66,data_clean\train\def_front\cast_def_0_907.jpeg,1,surface_spot
67,data_clean\train\def_front\cast_def_0_5476.jpeg,1,surface_spot
68,data_clean\train\def_front\cast_def_0_914.jpeg,0,frayed_edge
69,data_clean\train\def_front\cast_def_0_6243.jpeg,1,surface_spot
70,data_clean\train\def_front\cast_def_0_4889.jpeg,1,surface_spot
71,data_clean\train\def_front\cast_def_0_2818.jpeg,1,surface_spot
72,data_clean\train\def_front\cast_def_0_2099.jpeg,0,frayed_edge
73,data_clean\train\def_front\cast_def_0_2489.jpeg,0,frayed_edge
74,data_clean\train\def_front\cast_def_0_376.jpeg,1,surface_spot
75,data_clean\train\def_front\cast_def_0_2305.jpeg,0,frayed_edge
76,data_clean\val\def_front\cast_def_0_2372.jpeg,1,surface_spot
77,data_clean\train\def_front\cast_def_0_9423.jpeg,1,surface_spot
78,data_clean\train\def_front\cast_def_0_8003.jpeg,0,frayed_edge
79,data_clean\train\def_front\cast_def_0_2272.jpeg,0,frayed_edge
80,data_clean\train\def_front\cast_def_0_2963.jpeg,0,frayed_edge
81,data_clean\train\def_front\cast_def_0_8752.jpeg,1,surface_spot
82,data_clean\train\def_front\cast_def_0_7433.jpeg,0,frayed_edge
83,data_clean\train\def_front\cast_def_0_4117.jpeg,0,frayed_edge
84,data_clean\train\def_front\cast_def_0_7097.jpeg,0,frayed_edge
85,data_clean\train\def_front\cast_def_0_5818.jpeg,0,frayed_edge
86,data_clean\train\def_front\cast_def_0_8288.jpeg,1,surface_spot
