id,file,cluster,group
1,data_clean\val\def_front\new__0_7515.jpeg,0,A
2,data_clean\train\def_front\cast_def_0_3631.jpeg,1,B
3,data_clean\train\def_front\cast_def_0_4107.jpeg,1,B
4,data_clean\train\def_front\cast_def_0_9409.jpeg,1,B
5,data_clean\train\def_front\cast_def_0_3543.jpeg,1,B
6,data_clean\train\def_front\cast_def_0_6052.jpeg,1,B
7,data_clean\train\def_front\cast_def_0_2829.jpeg,1,B
8,data_clean\train\def_front\cast_def_0_3568.jpeg,0,A
9,data_clean\train\def_front\cast_def_0_5997.jpeg,0,A
10,data_clean\train\def_front\cast_def_0_1840.jpeg,0,A
11,data_clean\val\def_front\cast_def_0_26.jpeg,1,B
12,data_clean\train\def_front\cast_def_0_8463.jpeg,1,B
13,data_clean\train\def_front\cast_def_0_8797.jpeg,1,B
14,data_clean\train\def_front\cast_def_0_5887.jpeg,0,A
15,data_clean\train\def_front\cast_def_0_2856.jpeg,1,B
16,data_clean\train\def_front\cast_def_0_8083.jpeg,0,A
17,data_clean\train\def_front\cast_def_0_4303.jpeg,1,B
18,data_clean\train\def_front\cast_def_0_7853.jpeg,0,A
19,data_clean\train\def_front\cast_def_0_8068.jpeg,1,B
20,data_clean\train\def_front\cast_def_0_9000.jpeg,0,A
21,data_clean\val\def_front\cast_def_0_1233.jpeg,0,A
22,data_clean\train\def_front\cast_def_0_8236.jpeg,1,B
23,data_clean\train\def_front\cast_def_0_4919.jpeg,1,B
24,data_clean\train\def_front\cast_def_0_8076.jpeg,0,A
25,data_clean\train\def_front\cast_def_0_4232.jpeg,1,B
26,data_clean\train\def_front\cast_def_0_7739.jpeg,1,B
27,data_clean\train\def_front\cast_def_0_7662.jpeg,1,B
28,data_clean\train\def_front\cast_def_0_5719.jpeg,1,B
29,data_clean\train\def_front\cast_def_0_6114.jpeg,0,A
30,data_clean\train\def_front\cast_def_0_2678.jpeg,1,B
31,data_clean\train\def_front\cast_def_0_3075.jpeg,1,B
32,data_clean\train\def_front\cast_def_0_8567.jpeg,1,B
33,data_clean\train\def_front\cast_def_0_6293.jpeg,0,A
34,data_clean\val\def_front\cast_def_0_1134.jpeg,1,B
35,data_clean\train\def_front\cast_def_0_4117.jpeg,0,A
36,data_clean\val\def_front\new__0_3255.jpeg,1,B
37,data_clean\train\def_front\cast_def_0_7160.jpeg,0,A
38,data_clean\train\def_front\cast_def_0_1167.jpeg,1,B
39,data_clean\train\def_front\cast_def_0_8175.jpeg,1,B
40,data_clean\train\def_front\cast_def_0_6258.jpeg,1,B
41,data_clean\train\def_front\cast_def_0_7545.jpeg,0,A
42,data_clean\train\def_front\cast_def_0_2157.jpeg,1,B
43,data_clean\train\def_front\cast_def_0_8403.jpeg,1,B
44,data_clean\train\def_front\cast_def_0_4778.jpeg,1,B
45,data_clean\train\def_front\cast_def_0_8408.jpeg,1,B
46,data_clean\train\def_front\cast_def_0_8195.jpeg,1,B
47,data_clean\val\def_front\cast_def_0_151.jpeg,1,B
48,data_clean\train\def_front\cast_def_0_8079.jpeg,1,B
49,data_clean\train\def_front\cast_def_0_5234.jpeg,1,B
50,data_clean\train\def_front\cast_def_0_985.jpeg,1,B
51,data_clean\train\def_front\cast_def_0_70.jpeg,1,B
52,data_clean\train\def_front\cast_def_0_5717.jpeg,1,B
53,data_clean\val\def_front\cast_def_0_456.jpeg,1,B
54,data_clean\train\def_front\cast_def_0_5791.jpeg,1,B
55,data_clean\train\def_front\cast_def_0_4776.jpeg,1,B
56,data_clean\val\def_front\cast_def_0_1586.jpeg,1,B
57,data_clean\train\def_front\cast_def_0_2926.jpeg,1,B
58,data_clean\train\def_front\cast_def_0_9558.jpeg,1,B
59,data_clean\train\def_front\cast_def_0_957.jpeg,1,B
60,data_clean\train\def_front\cast_def_0_7831.jpeg,0,A
61,data_clean\val\def_front\cast_def_0_811.jpeg,1,B
62,data_clean\train\def_front\cast_def_0_8215.jpeg,1,B
63,data_clean\train\def_front\cast_def_0_8771.jpeg,1,B
64,data_clean\train\def_front\cast_def_0_5917.jpeg,1,B
65,data_clean\train\def_front\cast_def_0_5067.jpeg,0,A
66,data_clean\train\def_front\cast_def_0_3135.jpeg,1,B
67,data_clean\train\def_front\cast_def_0_9802.jpeg,1,B
68,data_clean\train\def_front\cast_def_0_6591.jpeg,1,B
69,data_clean\val\def_front\cast_def_0_5302.jpeg,0,A
70,data_clean\train\def_front\cast_def_0_7010.jpeg,0,A
71,data_clean\train\def_front\cast_def_0_1915.jpeg,0,A
72,data_clean\train\def_front\cast_def_0_6245.jpeg,0,A
73,data_clean\train\def_front\cast_def_0_5231.jpeg,1,B
74,data_clean\train\def_front\cast_def_0_1175.jpeg,0,A
75,data_clean\train\def_front\cast_def_0_5210.jpeg,1,B
76,data_clean\train\def_front\cast_def_0_4706.jpeg,0,A
77,data_clean\train\def_front\cast_def_0_1919.jpeg,1,B
78,data_clean\train\def_front\cast_def_0_1133.jpeg,1,B
79,data_clean\train\def_front\cast_def_0_5995.jpeg,0,A
80,data_clean\train\def_front\cast_def_0_6727.jpeg,1,B
81,data_clean\train\def_front\cast_def_0_8306.jpeg,1,B
82,data_clean\train\def_front\cast_def_0_5019.jpeg,1,B
83,data_clean\train\def_front\cast_def_0_546.jpeg,0,A
84,data_clean\train\def_front\cast_def_0_2693.jpeg,1,B
85,data_clean\train\def_front\cast_def_0_4324.jpeg,1,B
86,data_clean\train\def_front\cast_def_0_372.jpeg,1,B
87,data_clean\train\def_front\cast_def_0_2415.jpeg,1,B
88,data_clean\train\def_front\cast_def_0_8009.jpeg,0,A
89,data_clean\val\def_front\cast_def_0_2396.jpeg,0,A
90,data_clean\train\def_front\cast_def_0_1004.jpeg,1,B
91,data_clean\train\def_front\cast_def_0_7524.jpeg,1,B
92,data_clean\train\def_front\cast_def_0_9204.jpeg,1,B
93,data_clean\train\def_front\cast_def_0_3413.jpeg,1,B
94,data_clean\train\def_front\cast_def_0_7995.jpeg,1,B
95,data_clean\train\def_front\cast_def_0_8126.jpeg,1,B
96,data_clean\train\def_front\cast_def_0_835.jpeg,1,B
97,data_clean\train\def_front\cast_def_0_4659.jpeg,0,A
98,data_clean\train\def_front\cast_def_0_3799.jpeg,1,B
99,data_clean\train\def_front\cast_def_0_9765.jpeg,1,B
100,data_clean\train\def_front\cast_def_0_5534.jpeg,1,B
101,data_clean\train\def_front\cast_def_0_8436.jpeg,1,B
102,data_clean\val\def_front\cast_def_0_1323.jpeg,1,B
103,data_clean\train\def_front\cast_def_0_1053.jpeg,1,B
104,data_clean\train\def_front\cast_def_0_4486.jpeg,0,A
105,data_clean\train\def_front\cast_def_0_8761.jpeg,1,B
106,data_clean\train\def_front\cast_def_0_2385.jpeg,0,A
107,data_clean\train\def_front\cast_def_0_8188.jpeg,0,A
108,data_clean\train\def_front\cast_def_0_993.jpeg,1,B
109,data_clean\val\def_front\cast_def_0_2392.jpeg,1,B
110,data_clean\train\def_front\cast_def_0_6312.jpeg,1,B
111,data_clean\train\def_front\cast_def_0_4499.jpeg,0,A
112,data_clean\val\def_front\cast_def_0_504.jpeg,0,A
113,data_clean\train\def_front\cast_def_0_7973.jpeg,1,B
114,data_clean\train\def_front\cast_def_0_7234.jpeg,1,B
115,data_clean\train\def_front\cast_def_0_6143.jpeg,0,A
116,data_clean\train\def_front\cast_def_0_1249.jpeg,1,B
117,data_clean\val\def_front\new__0_9248.jpeg,1,B
118,data_clean\val\def_front\cast_def_0_2487.jpeg,1,B
119,data_clean\train\def_front\cast_def_0_9861.jpeg,1,B
120,data_clean\train\def_front\cast_def_0_6638.jpeg,1,B
121,data_clean\train\def_front\cast_def_0_8558.jpeg,0,A
122,data_clean\train\def_front\cast_def_0_5922.jpeg,1,B
123,data_clean\train\def_front\cast_def_0_2138.jpeg,1,B
124,data_clean\train\def_front\cast_def_0_8077.jpeg,0,A
125,data_clean\train\def_front\cast_def_0_6222.jpeg,0,A
126,data_clean\train\def_front\cast_def_0_5139.jpeg,0,A
127,data_clean\val\def_front\cast_def_0_1136.jpeg,1,B
128,data_clean\train\def_front\cast_def_0_6554.jpeg,0,A
129,data_clean\train\def_front\cast_def_0_5265.jpeg,1,B
130,data_clean\train\def_front\cast_def_0_2889.jpeg,1,B
131,data_clean\val\def_front\cast_def_0_1625.jpeg,1,B
132,data_clean\train\def_front\cast_def_0_3586.jpeg,1,B
133,data_clean\train\def_front\cast_def_0_319.jpeg,1,B
134,data_clean\train\def_front\cast_def_0_9446.jpeg,1,B
135,data_clean\val\def_front\new__0_8133.jpeg,0,A
136,data_clean\train\def_front\cast_def_0_9833.jpeg,1,B
137,data_clean\val\def_front\cast_def_0_2154.jpeg,1,B
138,data_clean\train\def_front\cast_def_0_3994.jpeg,0,A
139,data_clean\train\def_front\cast_def_0_7693.jpeg,1,B
140,data_clean\train\def_front\cast_def_0_6980.jpeg,0,A
141,data_clean\train\def_front\cast_def_0_3770.jpeg,1,B
142,data_clean\train\def_front\cast_def_0_9283.jpeg,1,B
143,data_clean\train\def_front\cast_def_0_5244.jpeg,1,B
144,data_clean\train\def_front\cast_def_0_7622.jpeg,1,B
145,data_clean\train\def_front\cast_def_0_7463.jpeg,1,B
146,data_clean\train\def_front\cast_def_0_6698.jpeg,0,A
147,data_clean\train\def_front\cast_def_0_9879.jpeg,1,B
148,data_clean\val\def_front\cast_def_0_7659.jpeg,0,A
149,data_clean\train\def_front\cast_def_0_959.jpeg,1,B
150,data_clean\train\def_front\cast_def_0_2769.jpeg,1,B
151,data_clean\train\def_front\cast_def_0_5389.jpeg,1,B
152,data_clean\train\def_front\cast_def_0_3869.jpeg,1,B
153,data_clean\train\def_front\cast_def_0_3433.jpeg,1,B
154,data_clean\train\def_front\cast_def_0_6095.jpeg,1,B
155,data_clean\train\def_front\cast_def_0_5065.jpeg,1,B
156,data_clean\val\def_front\cast_def_0_1376.jpeg,1,B
157,data_clean\val\def_front\cast_def_0_1591.jpeg,1,B
158,data_clean\train\def_front\cast_def_0_3290.jpeg,0,A
159,data_clean\train\def_front\cast_def_0_4510.jpeg,1,B
160,data_clean\train\def_front\cast_def_0_1886.jpeg,1,B
161,data_clean\train\def_front\cast_def_0_4275.jpeg,1,B
162,data_clean\train\def_front\cast_def_0_7407.jpeg,1,B
163,data_clean\val\def_front\new__0_3963.jpeg,0,A
164,data_clean\train\def_front\cast_def_0_8192.jpeg,1,B
165,data_clean\train\def_front\cast_def_0_8866.jpeg,0,A
166,data_clean\train\def_front\cast_def_0_5041.jpeg,1,B
167,data_clean\train\def_front\cast_def_0_4025.jpeg,1,B
168,data_clean\train\def_front\cast_def_0_2572.jpeg,0,A
169,data_clean\train\def_front\cast_def_0_4754.jpeg,0,A
170,data_clean\train\def_front\cast_def_0_9624.jpeg,1,B
171,data_clean\train\def_front\cast_def_0_4916.jpeg,1,B
172,data_clean\train\def_front\cast_def_0_6434.jpeg,1,B
173,data_clean\train\def_front\cast_def_0_6566.jpeg,0,A
174,data_clean\train\def_front\cast_def_0_7490.jpeg,0,A
175,data_clean\train\def_front\cast_def_0_7100.jpeg,0,A
176,data_clean\train\def_front\cast_def_0_5941.jpeg,1,B
177,data_clean\train\def_front\cast_def_0_5335.jpeg,0,A
178,data_clean\train\def_front\cast_def_0_2595.jpeg,1,B
179,data_clean\train\def_front\cast_def_0_4523.jpeg,0,A
180,data_clean\train\def_front\cast_def_0_2199.jpeg,0,A
181,data_clean\train\def_front\cast_def_0_2578.jpeg,0,A
182,data_clean\train\def_front\cast_def_0_6484.jpeg,1,B
183,data_clean\train\def_front\cast_def_0_3720.jpeg,1,B
184,data_clean\train\def_front\cast_def_0_7856.jpeg,1,B
185,data_clean\train\def_front\cast_def_0_4463.jpeg,0,A
186,data_clean\train\def_front\cast_def_0_1279.jpeg,1,B
187,data_clean\val\def_front\cast_def_0_618.jpeg,1,B
188,data_clean\train\def_front\cast_def_0_9630.jpeg,1,B
189,data_clean\val\def_front\new__0_2055.jpeg,1,B
190,data_clean\train\def_front\cast_def_0_3610.jpeg,1,B
191,data_clean\train\def_front\cast_def_0_1734.jpeg,1,B
192,data_clean\train\def_front\cast_def_0_4428.jpeg,1,B
193,data_clean\train\def_front\cast_def_0_3698.jpeg,1,B
