file,cluster,distance_to_centre
data_clean\val\def_front\cast_def_0_112.jpeg,0,46.3326
data_clean\train\def_front\cast_def_0_857.jpeg,0,48.7221
data_clean\train\def_front\cast_def_0_2998.jpeg,0,49.1740
data_clean\train\def_front\cast_def_0_9040.jpeg,0,50.3228
data_clean\val\def_front\cast_def_0_3106.jpeg,0,55.4944
data_clean\train\def_front\cast_def_0_7260.jpeg,0,63.5017
data_clean\train\def_front\cast_def_0_4758.jpeg,0,63.8239
data_clean\train\def_front\cast_def_0_7161.jpeg,0,73.5261
data_clean\train\def_front\cast_def_0_3658.jpeg,0,74.4669
data_clean\train\def_front\cast_def_0_6332.jpeg,0,81.2252
data_clean\train\def_front\cast_def_0_8991.jpeg,0,81.5240
data_clean\train\def_front\cast_def_0_1692.jpeg,0,82.6421
data_clean\train\def_front\cast_def_0_3671.jpeg,0,83.7814
data_clean\train\def_front\cast_def_0_3644.jpeg,0,88.1212
data_clean\train\def_front\cast_def_0_8909.jpeg,0,89.1781
data_clean\train\def_front\cast_def_0_6641.jpeg,0,90.6622
data_clean\train\def_front\cast_def_0_9823.jpeg,0,93.0847
data_clean\train\def_front\cast_def_0_5832.jpeg,0,93.5298
data_clean\train\def_front\cast_def_0_1082.jpeg,0,93.5841
data_clean\val\def_front\cast_def_0_174.jpeg,0,93.6147
data_clean\train\def_front\cast_def_0_3766.jpeg,0,94.7883
data_clean\train\def_front\cast_def_0_2923.jpeg,0,95.0015
data_clean\train\def_front\cast_def_0_9490.jpeg,0,96.8724
data_clean\val\def_front\cast_def_0_1497.jpeg,0,96.9425
data_clean\train\def_front\cast_def_0_6405.jpeg,0,101.0473
data_clean\train\def_front\cast_def_0_7581.jpeg,0,101.6999
data_clean\train\def_front\cast_def_0_2963.jpeg,0,102.5441
data_clean\train\def_front\cast_def_0_8487.jpeg,0,104.4258
data_clean\train\def_front\cast_def_0_8965.jpeg,0,105.1023
data_clean\train\def_front\cast_def_0_8438.jpeg,0,107.2695
data_clean\train\def_front\cast_def_0_4718.jpeg,0,107.7773
data_clean\train\def_front\cast_def_0_8918.jpeg,0,110.6560
data_clean\train\def_front\cast_def_0_7780.jpeg,0,111.6819
data_clean\train\def_front\cast_def_0_2876.jpeg,0,111.8002
data_clean\train\def_front\cast_def_0_6109.jpeg,0,112.0618
data_clean\train\def_front\cast_def_0_2860.jpeg,0,112.7800
data_clean\train\def_front\cast_def_0_401.jpeg,0,114.0377
data_clean\train\def_front\cast_def_0_722.jpeg,0,115.6601
data_clean\train\def_front\cast_def_0_9216.jpeg,0,116.0792
data_clean\train\def_front\cast_def_0_2891.jpeg,0,121.1652
data_clean\train\def_front\cast_def_0_3005.jpeg,0,122.0790
data_clean\train\def_front\cast_def_0_4083.jpeg,0,122.4249
data_clean\train\def_front\cast_def_0_313.jpeg,0,122.9072
data_clean\train\def_front\cast_def_0_6395.jpeg,0,122.9842
data_clean\val\def_front\cast_def_0_299.jpeg,0,125.2853
data_clean\train\def_front\cast_def_0_2287.jpeg,0,126.1490
data_clean\train\def_front\cast_def_0_7412.jpeg,0,127.9532
data_clean\train\def_front\cast_def_0_6700.jpeg,0,129.1561
data_clean\train\def_front\cast_def_0_8348.jpeg,0,129.6678
data_clean\train\def_front\cast_def_0_5006.jpeg,0,132.3144
data_clean\train\def_front\cast_def_0_3197.jpeg,0,132.5722
data_clean\val\def_front\cast_def_0_144.jpeg,0,137.7715
data_clean\train\def_front\cast_def_0_5793.jpeg,0,138.9182
data_clean\train\def_front\cast_def_0_2846.jpeg,0,138.9240
data_clean\train\def_front\cast_def_0_2753.jpeg,0,142.0419
data_clean\train\def_front\cast_def_0_7185.jpeg,0,142.2356
data_clean\train\def_front\cast_def_0_6548.jpeg,0,142.2416
data_clean\train\def_front\cast_def_0_8809.jpeg,0,142.5846
data_clean\train\def_front\cast_def_0_9701.jpeg,0,142.7656
data_clean\train\def_front\cast_def_0_9777.jpeg,0,144.3291
data_clean\train\def_front\cast_def_0_315.jpeg,0,146.5320
data_clean\train\def_front\cast_def_0_8878.jpeg,0,146.5759
data_clean\train\def_front\cast_def_0_3556.jpeg,0,147.2249
data_clean\train\def_front\cast_def_0_5090.jpeg,0,147.3557
data_clean\train\def_front\cast_def_0_7437.jpeg,0,147.4951
data_clean\train\def_front\cast_def_0_1825.jpeg,0,150.9498
data_clean\train\def_front\cast_def_0_9429.jpeg,0,152.0801
data_clean\train\def_front\cast_def_0_5034.jpeg,0,152.3301
data_clean\train\def_front\cast_def_0_8833.jpeg,0,158.9299
data_clean\train\def_front\cast_def_0_9440.jpeg,0,159.0165
data_clean\val\def_front\cast_def_0_367.jpeg,0,159.1121
data_clean\train\def_front\cast_def_0_9953.jpeg,0,159.4086
data_clean\train\def_front\cast_def_0_1008.jpeg,0,162.1134
data_clean\train\def_front\cast_def_0_6972.jpeg,0,163.9814
data_clean\train\def_front\cast_def_0_1862.jpeg,0,165.2500
data_clean\train\def_front\cast_def_0_962.jpeg,0,165.6577
data_clean\train\def_front\cast_def_0_4845.jpeg,0,165.7263
data_clean\train\def_front\cast_def_0_8245.jpeg,0,166.0678
data_clean\train\def_front\cast_def_0_82.jpeg,0,169.1779
data_clean\train\def_front\cast_def_0_7703.jpeg,0,169.2377
data_clean\train\def_front\cast_def_0_15.jpeg,0,170.5576
data_clean\train\def_front\cast_def_0_9108.jpeg,0,173.0429
data_clean\train\def_front\cast_def_0_4181.jpeg,0,173.4629
data_clean\train\def_front\cast_def_0_8543.jpeg,0,173.8923
data_clean\train\def_front\cast_def_0_3190.jpeg,0,178.1717
data_clean\train\def_front\cast_def_0_2036.jpeg,0,181.3547
data_clean\train\def_front\cast_def_0_4354.jpeg,0,182.4478
data_clean\val\def_front\cast_def_0_647.jpeg,0,182.7860
data_clean\train\def_front\cast_def_0_3880.jpeg,0,189.7085
data_clean\val\def_front\cast_def_0_2324.jpeg,0,192.5422
data_clean\train\def_front\cast_def_0_1928.jpeg,0,193.6408
data_clean\train\def_front\cast_def_0_5597.jpeg,0,194.2423
data_clean\train\def_front\cast_def_0_5134.jpeg,0,195.2675
data_clean\train\def_front\cast_def_0_2697.jpeg,0,198.1247
data_clean\train\def_front\cast_def_0_1728.jpeg,0,198.4582
data_clean\train\def_front\cast_def_0_4374.jpeg,0,198.7683
data_clean\train\def_front\cast_def_0_3798.jpeg,0,199.4949
data_clean\train\def_front\cast_def_0_5723.jpeg,0,199.6869
data_clean\train\def_front\cast_def_0_3801.jpeg,0,200.7220
data_clean\train\def_front\cast_def_0_1060.jpeg,0,202.1140
data_clean\train\def_front\cast_def_0_3082.jpeg,0,203.2941
data_clean\train\def_front\cast_def_0_3037.jpeg,0,203.8604
data_clean\train\def_front\cast_def_0_9359.jpeg,0,206.5462
data_clean\train\def_front\cast_def_0_4171.jpeg,0,208.0007
data_clean\train\def_front\cast_def_0_6505.jpeg,0,208.2466
data_clean\train\def_front\cast_def_0_3747.jpeg,0,209.4146
data_clean\train\def_front\cast_def_0_7737.jpeg,0,209.6764
data_clean\train\def_front\cast_def_0_8466.jpeg,0,211.4938
data_clean\train\def_front\cast_def_0_8007.jpeg,0,211.9024
data_clean\train\def_front\cast_def_0_9495.jpeg,0,214.8228
data_clean\train\def_front\cast_def_0_3583.jpeg,0,215.1878
data_clean\train\def_front\cast_def_0_3975.jpeg,0,215.5703
data_clean\train\def_front\cast_def_0_1077.jpeg,0,216.5712
data_clean\train\def_front\cast_def_0_5521.jpeg,0,217.5955
data_clean\train\def_front\cast_def_0_2861.jpeg,0,218.0721
data_clean\val\def_front\cast_def_0_4137.jpeg,0,218.6138
data_clean\train\def_front\cast_def_0_4917.jpeg,0,218.7446
data_clean\train\def_front\cast_def_0_1099.jpeg,0,219.4359
data_clean\train\def_front\cast_def_0_2924.jpeg,0,219.7690
data_clean\train\def_front\cast_def_0_6590.jpeg,0,220.0902
data_clean\train\def_front\cast_def_0_3011.jpeg,0,222.4434
data_clean\train\def_front\cast_def_0_133.jpeg,0,224.2750
data_clean\train\def_front\cast_def_0_8267.jpeg,0,225.4030
data_clean\train\def_front\cast_def_0_3185.jpeg,0,228.7257
data_clean\train\def_front\cast_def_0_2726.jpeg,0,229.3904
data_clean\train\def_front\cast_def_0_4717.jpeg,0,229.4075
data_clean\train\def_front\cast_def_0_6373.jpeg,0,229.4980
data_clean\val\def_front\cast_def_0_663.jpeg,0,231.4503
data_clean\train\def_front\cast_def_0_5676.jpeg,0,232.8594
data_clean\val\def_front\cast_def_0_1171.jpeg,0,233.9140
data_clean\train\def_front\cast_def_0_5414.jpeg,0,234.9950
data_clean\train\def_front\cast_def_0_9356.jpeg,0,235.9745
data_clean\train\def_front\cast_def_0_6404.jpeg,0,237.9571
data_clean\train\def_front\cast_def_0_1085.jpeg,0,238.6213
data_clean\val\def_front\new__0_3299.jpeg,0,239.4739
data_clean\train\def_front\cast_def_0_6070.jpeg,0,240.0727
data_clean\train\def_front\cast_def_0_7537.jpeg,0,242.5809
data_clean\train\def_front\cast_def_0_7547.jpeg,0,245.6237
data_clean\train\def_front\cast_def_0_6392.jpeg,0,248.2554
data_clean\train\def_front\cast_def_0_6836.jpeg,0,250.2187
data_clean\train\def_front\cast_def_0_4385.jpeg,0,250.8120
data_clean\train\def_front\cast_def_0_310.jpeg,0,253.3056
data_clean\train\def_front\cast_def_0_1961.jpeg,0,255.7119
data_clean\train\def_front\cast_def_0_4800.jpeg,0,255.7262
data_clean\train\def_front\cast_def_0_6858.jpeg,0,255.9615
data_clean\train\def_front\cast_def_0_5160.jpeg,0,256.1425
data_clean\train\def_front\cast_def_0_7102.jpeg,0,259.4151
data_clean\train\def_front\cast_def_0_1240.jpeg,0,261.3249
data_clean\train\def_front\cast_def_0_2258.jpeg,0,262.2032
data_clean\train\def_front\cast_def_0_9141.jpeg,0,262.2917
data_clean\train\def_front\cast_def_0_3388.jpeg,0,263.7587
data_clean\train\def_front\cast_def_0_5272.jpeg,0,264.1680
data_clean\train\def_front\cast_def_0_2145.jpeg,0,265.3445
data_clean\train\def_front\cast_def_0_8899.jpeg,0,265.5530
data_clean\train\def_front\cast_def_0_8599.jpeg,0,266.5691
data_clean\train\def_front\cast_def_0_9437.jpeg,0,267.2202
data_clean\train\def_front\cast_def_0_9524.jpeg,0,269.4798
data_clean\train\def_front\cast_def_0_4843.jpeg,0,269.9028
data_clean\train\def_front\cast_def_0_8801.jpeg,0,270.2382
data_clean\train\def_front\cast_def_0_654.jpeg,0,270.9649
data_clean\train\def_front\cast_def_0_1907.jpeg,0,271.4020
data_clean\train\def_front\cast_def_0_5763.jpeg,0,271.4682
data_clean\train\def_front\cast_def_0_4753.jpeg,0,272.0591
data_clean\val\def_front\cast_def_0_1568.jpeg,0,272.5149
data_clean\train\def_front\cast_def_0_2588.jpeg,0,272.7707
data_clean\val\def_front\cast_def_0_2104.jpeg,0,273.0192
data_clean\train\def_front\cast_def_0_782.jpeg,0,274.2932
data_clean\train\def_front\cast_def_0_4850.jpeg,0,274.8817
data_clean\train\def_front\cast_def_0_3350.jpeg,0,274.8988
data_clean\train\def_front\cast_def_0_348.jpeg,0,278.7179
data_clean\train\def_front\cast_def_0_6804.jpeg,0,280.0108
data_clean\train\def_front\cast_def_0_6914.jpeg,0,280.2465
data_clean\train\def_front\cast_def_0_8475.jpeg,0,281.3113
data_clean\train\def_front\cast_def_0_8219.jpeg,0,284.6630
data_clean\train\def_front\cast_def_0_5201.jpeg,0,285.8936
data_clean\train\def_front\cast_def_0_6580.jpeg,0,286.1293
data_clean\train\def_front\cast_def_0_6851.jpeg,0,287.6825
data_clean\train\def_front\cast_def_0_3384.jpeg,0,288.2180
data_clean\train\def_front\cast_def_0_1490.jpeg,0,288.3747
data_clean\train\def_front\cast_def_0_3927.jpeg,0,288.4360
data_clean\train\def_front\cast_def_0_8925.jpeg,0,289.2269
data_clean\train\def_front\cast_def_0_8088.jpeg,0,289.9501
data_clean\train\def_front\cast_def_0_7888.jpeg,0,290.1828
data_clean\train\def_front\cast_def_0_1156.jpeg,0,294.0767
data_clean\train\def_front\cast_def_0_677.jpeg,0,295.6454
data_clean\train\def_front\cast_def_0_2875.jpeg,0,296.2281
data_clean\train\def_front\cast_def_0_2781.jpeg,0,296.5294
data_clean\train\def_front\cast_def_0_1098.jpeg,0,298.8640
data_clean\train\def_front\cast_def_0_4915.jpeg,0,299.1501
data_clean\train\def_front\cast_def_0_9101.jpeg,0,299.3541
data_clean\val\def_front\cast_def_0_49.jpeg,0,299.8161
data_clean\train\def_front\cast_def_0_1833.jpeg,0,299.8714
data_clean\val\def_front\cast_def_0_1499.jpeg,0,304.1270
data_clean\train\def_front\cast_def_0_5459.jpeg,0,304.5973
data_clean\train\def_front\cast_def_0_2916.jpeg,0,304.6071
data_clean\train\def_front\cast_def_0_819.jpeg,0,304.6262
data_clean\train\def_front\cast_def_0_9912.jpeg,0,306.2221
data_clean\train\def_front\cast_def_0_3915.jpeg,0,306.3143
data_clean\train\def_front\cast_def_0_355.jpeg,0,310.0337
data_clean\train\def_front\cast_def_0_9842.jpeg,0,310.0616
data_clean\train\def_front\cast_def_0_8863.jpeg,0,311.0752
data_clean\train\def_front\cast_def_0_5462.jpeg,0,311.9604
