id,fray,chip,spot,slash
1,0,0,1,0
2,0,1,0,0
3,0,0,1,0
4,1,0,0,1
5,?,?,?,?
6,0,0,1,0
7,0,0,1,0
8,0,1,0,0
9,1,0,1,0
10,1,0,0,0
11,?,?,?,?
12,0,0,0,1
13,0,1,0,0
14,1,0,0,1
15,0,0,1,0
16,1,0,1,0
17,1,0,1,0
18,0,0,1,0
19,0,1,0,0
20,1,1,1,0
21,0,1,0,0
22,1,0,0,1
23,0,0,1,0
24,0,0,1,0
25,1,0,0,1
26,1,0,0,0
27,1,0,0,1
28,1,0,0,1
29,1,1,1,0
30,1,0,0,1
31,0,1,0,0
32,1,0,0,1
33,0,0,1,0
34,0,0,1,0
35,0,1,0,0
36,0,0,1,0
37,0,1,0,0
38,0,0,0,1
39,1,0,1,1
40,?,?,?,?
41,1,0,0,1
42,0,0,1,0
43,0,0,1,0
44,0,0,1,0
45,0,0,1,0
46,?,?,?,?
47,0,0,0,1
48,1,1,0,0
49,0,0,1,0
50,1,0,1,1
51,0,0,0,1
52,0,0,1,0
53,0,0,0,1
54,0,0,1,0
55,1,0,0,0
56,1,1,1,1
57,1,0,0,1
58,0,0,1,0
59,1,0,0,0
60,1,0,1,1
61,0,1,0,0
62,0,0,1,0
63,0,1,1,0
64,1,0,0,0
65,1,0,0,1
66,1,1,0,0
67,1,0,1,1
68,0,0,1,0
69,0,0,1,0
70,?,?,?,?
71,?,?,?,?
72,1,0,1,1
73,0,1,0,1
74,1,1,1,0
75,1,0,0,1
76,0,1,0,0
77,0,0,0,1
78,1,0,0,1
79,1,0,1,1
80,1,0,1,0
81,0,1,0,0
82,0,0,1,0
83,0,0,1,0
84,1,0,1,1
85,0,0,0,1
86,1,0,0,1
87,0,0,1,0
88,1,0,0,0
89,0,0,1,0
90,0,1,0,0
91,0,0,1,0
92,1,0,0,0
93,1,0,0,1
94,1,0,0,1
95,1,0,1,0
96,0,0,1,0
97,0,0,1,0
98,1,0,1,1
99,0,0,1,0
100,1,0,1,1
101,0,0,1,0
102,1,0,0,0
103,0,0,0,1
104,1,0,0,1
105,1,0,0,1
106,?,?,?,?
107,1,0,0,1
108,0,0,0,1
109,0,1,0,0
110,0,0,1,0
111,0,0,1,0
112,1,0,0,1
113,0,0,1,0
114,0,0,0,1
115,1,0,0,1
116,1,0,0,0
117,1,0,0,1
118,1,1,1,1
119,0,0,1,0
120,0,0,0,1
121,0,0,1,0
122,1,0,1,0
123,0,0,0,1
124,0,0,1,0
125,0,0,1,0
126,0,0,1,0
127,0,0,1,0
128,1,0,0,1
129,1,0,0,0
130,1,0,0,1
131,1,0,1,1
132,0,1,0,0
133,0,0,1,0
134,0,0,1,0
135,0,0,1,0
136,0,0,1,0
137,0,0,1,0
138,0,0,1,0
139,1,0,1,1
140,0,0,1,0
141,0,0,1,0
142,?,?,?,?
143,1,0,0,1
144,1,0,0,1
145,1,1,1,1
146,1,0,0,1
147,0,0,1,0
148,?,?,?,?
149,1,0,0,1
150,?,?,?,?
151,1,0,0,1
152,1,0,0,1
153,0,0,1,0
154,0,0,1,0
155,1,0,1,0
156,0,0,1,0
157,1,0,1,1
158,?,?,?,?
159,0,1,0,0
160,1,0,0,1
161,0,0,1,0
162,0,0,1,0
163,1,0,0,1
164,?,?,?,?
165,1,0,0,1
166,0,0,1,0
167,1,0,1,0
168,1,0,0,1
169,1,0,0,0
170,1,0,0,1
171,0,0,1,0
172,0,0,1,0
173,0,0,1,0
174,1,0,0,1
175,1,0,1,0
176,0,0,1,0
177,1,0,0,1
178,1,0,1,0
179,0,0,1,0
180,1,0,0,1
181,0,0,1,0
182,0,1,0,0
183,1,0,0,0
184,?,?,?,?
185,0,0,1,0
186,0,0,1,0
187,?,?,?,?
188,0,0,1,0
189,0,0,1,0
190,?,?,?,?
191,1,0,0,1
192,0,1,0,0
193,0,1,0,0
194,1,0,0,1
195,1,0,0,0
196,0,1,0,0
197,0,0,1,0
198,0,0,1,0
199,1,0,1,1
200,1,0,0,1
