id,fray,spot
1,0,1
2,1,1
3,0,1
4,0,1
5,1,1
6,0,1
7,0,1
8,1,1
9,1,1
10,1,1
11,0,1
12,1,0
13,1,1
14,0,0
15,0,1
16,1,1
17,0,1
18,1,1
19,1,1
20,0,1
21,0,0
22,0,1
23,1,1
24,1,1
25,0,1
26,0,1
27,1,1
28,0,1
29,1,0
30,0,0
31,0,0
32,1,0
33,1,1
34,1,0
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,1,1
41,1,1
42,1,1
43,0,1
44,?,?
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,1,1
51,1,1
52,1,1
53,0,1
54,1,1
55,1,1
56,0,1
57,0,1
58,1,1
59,0,1
60,1,1
61,?,?
62,0,1
63,1,1
64,1,1
65,0,1
66,1,1
67,0,1
68,1,1
69,0,1
70,1,1
71,0,1
72,1,1
73,0,1
74,0,1
75,0,1
76,0,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,0
82,1,1
83,1,1
84,1,1
85,1,1
86,1,0
87,0,1
88,1,1
89,0,1
90,0,1
91,1,1
92,1,1
93,0,0
94,0,1
95,0,1
96,0,1
97,0,1
98,1,1
99,0,1
100,1,1
