file,split,hand_labelled,p_fray,p_chip,p_spot,p_slash
data_clean\train\def_front\cast_def_0_0.jpeg,train,0,0.0004,0.0213,0.6477,0.2879
data_clean\train\def_front\cast_def_0_1000.jpeg,train,1,0.0002,0.1561,0.9567,0.0172
data_clean\train\def_front\cast_def_0_1001.jpeg,train,0,0.0002,0.0047,0.6350,0.2963
data_clean\train\def_front\cast_def_0_1004.jpeg,train,0,0.9979,0.4737,0.2652,0.3706
data_clean\train\def_front\cast_def_0_1007.jpeg,train,0,0.9995,0.7696,0.9624,0.8419
data_clean\train\def_front\cast_def_0_1008.jpeg,train,1,0.0228,0.0420,0.8333,0.1819
data_clean\train\def_front\cast_def_0_1014.jpeg,train,0,0.9999,0.1205,0.0043,0.9206
data_clean\train\def_front\cast_def_0_1016.jpeg,train,0,0.0014,0.0823,0.3106,0.4152
data_clean\train\def_front\cast_def_0_1019.jpeg,train,0,0.0038,0.1764,0.8839,0.2648
data_clean\train\def_front\cast_def_0_1020.jpeg,train,0,0.9999,0.2073,0.0646,0.4681
data_clean\train\def_front\cast_def_0_1021.jpeg,train,0,0.0011,0.0156,0.6719,0.1824
data_clean\train\def_front\cast_def_0_1025.jpeg,train,0,0.0002,0.0018,0.8337,0.3620
data_clean\train\def_front\cast_def_0_103.jpeg,train,0,0.0003,0.0699,0.0080,0.8188
data_clean\train\def_front\cast_def_0_1031.jpeg,train,0,0.0036,0.0457,0.7724,0.1655
data_clean\train\def_front\cast_def_0_1037.jpeg,train,0,0.0032,0.0515,0.8947,0.1606
data_clean\train\def_front\cast_def_0_1038.jpeg,train,0,0.0018,0.0502,0.9346,0.0854
data_clean\train\def_front\cast_def_0_1042.jpeg,train,0,0.0033,0.0871,0.3384,0.2488
data_clean\train\def_front\cast_def_0_1043.jpeg,train,0,0.0038,0.0335,0.5947,0.3711
data_clean\train\def_front\cast_def_0_1046.jpeg,train,0,0.0057,0.0171,0.5413,0.5675
data_clean\train\def_front\cast_def_0_1048.jpeg,train,0,0.0011,0.0250,0.7192,0.1845
data_clean\train\def_front\cast_def_0_105.jpeg,train,0,0.0804,0.0306,0.0019,0.9905
data_clean\train\def_front\cast_def_0_1053.jpeg,train,0,0.0001,0.4620,0.3574,0.0813
data_clean\train\def_front\cast_def_0_1055.jpeg,train,0,0.0029,0.0050,0.0111,0.9495
data_clean\train\def_front\cast_def_0_1056.jpeg,train,0,0.9999,0.2801,0.1329,0.6055
data_clean\train\def_front\cast_def_0_1059.jpeg,train,0,0.9982,0.6343,0.7172,0.3393
data_clean\train\def_front\cast_def_0_1060.jpeg,train,0,0.9995,0.0811,0.0033,0.9378
data_clean\train\def_front\cast_def_0_1061.jpeg,train,0,0.0044,0.0335,0.0210,0.9284
data_clean\train\def_front\cast_def_0_1066.jpeg,train,0,0.0001,0.0537,0.7429,0.0749
data_clean\train\def_front\cast_def_0_1069.jpeg,train,0,0.0353,0.0334,0.0006,0.9910
data_clean\train\def_front\cast_def_0_107.jpeg,train,0,0.0560,0.0057,0.0054,0.9898
data_clean\train\def_front\cast_def_0_1070.jpeg,train,0,0.0012,0.0042,0.8201,0.5179
data_clean\train\def_front\cast_def_0_1074.jpeg,train,0,0.0668,0.1062,0.2196,0.3879
data_clean\train\def_front\cast_def_0_1077.jpeg,train,0,0.9992,0.3255,0.0021,0.9644
data_clean\train\def_front\cast_def_0_1082.jpeg,train,1,0.0160,0.0251,0.8562,0.3884
data_clean\train\def_front\cast_def_0_1084.jpeg,train,0,0.0009,0.0130,0.7489,0.2824
data_clean\train\def_front\cast_def_0_1085.jpeg,train,0,0.0242,0.2656,0.9181,0.1316
data_clean\train\def_front\cast_def_0_1086.jpeg,train,0,0.0010,0.0538,0.5584,0.0822
data_clean\train\def_front\cast_def_0_1087.jpeg,train,0,0.0021,0.0330,0.8491,0.0703
data_clean\train\def_front\cast_def_0_1088.jpeg,train,0,0.9979,0.6015,0.8162,0.5488
data_clean\train\def_front\cast_def_0_109.jpeg,train,0,0.0004,0.0201,0.8210,0.2432
