rank,file,split,p_chip,uncertainty
1,data_clean\val\def_front\cast_def_0_1625.jpeg,val,0.4994,0.9988
2,data_clean\train\def_front\cast_def_0_3869.jpeg,train,0.4993,0.9986
3,data_clean\train\def_front\cast_def_0_6727.jpeg,train,0.4990,0.9979
4,data_clean\train\def_front\cast_def_0_9624.jpeg,train,0.4987,0.9974
5,data_clean\train\def_front\cast_def_0_3586.jpeg,train,0.4972,0.9944
6,data_clean\train\def_front\cast_def_0_1175.jpeg,train,0.4971,0.9942
7,data_clean\val\def_front\new__0_7515.jpeg,val,0.5031,0.9939
8,data_clean\train\def_front\cast_def_0_7407.jpeg,train,0.4969,0.9937
9,data_clean\train\def_front\cast_def_0_5717.jpeg,train,0.5034,0.9932
10,data_clean\train\def_front\cast_def_0_5041.jpeg,train,0.4960,0.9919
11,data_clean\train\def_front\cast_def_0_4523.jpeg,train,0.5043,0.9914
12,data_clean\train\def_front\cast_def_0_7234.jpeg,train,0.4957,0.9913
13,data_clean\train\def_front\cast_def_0_4486.jpeg,train,0.4953,0.9907
14,data_clean\train\def_front\cast_def_0_6554.jpeg,train,0.4942,0.9884
15,data_clean\train\def_front\cast_def_0_8009.jpeg,train,0.5067,0.9867
16,data_clean\train\def_front\cast_def_0_4025.jpeg,train,0.4933,0.9866
17,data_clean\train\def_front\cast_def_0_2572.jpeg,train,0.5074,0.9853
18,data_clean\train\def_front\cast_def_0_7693.jpeg,train,0.5081,0.9839
19,data_clean\train\def_front\cast_def_0_5231.jpeg,train,0.5081,0.9837
20,data_clean\train\def_front\cast_def_0_8403.jpeg,train,0.4918,0.9836
21,data_clean\train\def_front\cast_def_0_5997.jpeg,train,0.4917,0.9833
22,data_clean\train\def_front\cast_def_0_5389.jpeg,train,0.4914,0.9829
23,data_clean\train\def_front\cast_def_0_9765.jpeg,train,0.4911,0.9822
24,data_clean\train\def_front\cast_def_0_3720.jpeg,train,0.5090,0.9820
25,data_clean\val\def_front\cast_def_0_618.jpeg,val,0.5091,0.9818
26,data_clean\train\def_front\cast_def_0_9861.jpeg,train,0.4908,0.9816
27,data_clean\train\def_front\cast_def_0_5995.jpeg,train,0.5092,0.9816
28,data_clean\train\def_front\cast_def_0_3994.jpeg,train,0.5093,0.9814
29,data_clean\train\def_front\cast_def_0_26.jpeg,train,0.4896,0.9792
30,data_clean\val\def_front\cast_def_0_456.jpeg,val,0.4896,0.9792
31,data_clean\train\def_front\cast_def_0_985.jpeg,train,0.4893,0.9787
32,data_clean\train\def_front\cast_def_0_2385.jpeg,train,0.5115,0.9769
33,data_clean\train\def_front\cast_def_0_8083.jpeg,train,0.4880,0.9760
34,data_clean\train\def_front\cast_def_0_7010.jpeg,train,0.4879,0.9759
35,data_clean\train\def_front\cast_def_0_1249.jpeg,train,0.5122,0.9756
36,data_clean\train\def_front\cast_def_0_7160.jpeg,train,0.4877,0.9754
37,data_clean\train\def_front\cast_def_0_7856.jpeg,train,0.4874,0.9748
38,data_clean\train\def_front\cast_def_0_9802.jpeg,train,0.5127,0.9746
39,data_clean\train\def_front\cast_def_0_8306.jpeg,train,0.5132,0.9736
40,data_clean\train\def_front\cast_def_0_7973.jpeg,train,0.4867,0.9734
41,data_clean\train\def_front\cast_def_0_6434.jpeg,train,0.4867,0.9734
42,data_clean\train\def_front\cast_def_0_2856.jpeg,train,0.5134,0.9732
43,data_clean\val\def_front\cast_def_0_504.jpeg,val,0.5135,0.9730
44,data_clean\train\def_front\cast_def_0_6143.jpeg,train,0.5141,0.9718
45,data_clean\train\def_front\cast_def_0_8068.jpeg,train,0.5151,0.9698
46,data_clean\train\def_front\cast_def_0_5887.jpeg,train,0.4846,0.9691
47,data_clean\train\def_front\cast_def_0_4117.jpeg,train,0.4844,0.9688
48,data_clean\train\def_front\cast_def_0_3698.jpeg,train,0.5157,0.9686
49,data_clean\train\def_front\cast_def_0_5123.jpeg,train,0.5158,0.9684
50,data_clean\val\def_front\cast_def_0_2396.jpeg,val,0.4834,0.9667
51,data_clean\val\def_front\cast_def_0_1591.jpeg,val,0.4831,0.9663
52,data_clean\train\def_front\cast_def_0_8079.jpeg,train,0.5170,0.9661
53,data_clean\train\def_front\cast_def_0_6312.jpeg,train,0.4828,0.9655
54,data_clean\train\def_front\cast_def_0_5265.jpeg,train,0.5174,0.9652
55,data_clean\train\def_front\cast_def_0_2889.jpeg,train,0.5178,0.9645
56,data_clean\train\def_front\cast_def_0_4776.jpeg,train,0.5180,0.9641
57,data_clean\train\def_front\cast_def_0_1915.jpeg,train,0.4820,0.9641
58,data_clean\train\def_front\cast_def_0_8126.jpeg,train,0.5184,0.9633
59,data_clean\train\def_front\cast_def_0_5244.jpeg,train,0.4808,0.9616
60,data_clean\train\def_front\cast_def_0_5065.jpeg,train,0.4805,0.9609
61,data_clean\val\def_front\cast_def_0_1136.jpeg,val,0.4795,0.9590
62,data_clean\train\def_front\cast_def_0_8192.jpeg,train,0.5205,0.9590
63,data_clean\train\def_front\cast_def_0_5534.jpeg,train,0.5206,0.9589
64,data_clean\train\def_front\cast_def_0_4778.jpeg,train,0.4787,0.9575
65,data_clean\train\def_front\cast_def_0_5917.jpeg,train,0.4787,0.9573
66,data_clean\train\def_front\cast_def_0_7463.jpeg,train,0.5214,0.9573
67,data_clean\train\def_front\cast_def_0_811.jpeg,train,0.5217,0.9566
68,data_clean\train\def_front\cast_def_0_2829.jpeg,train,0.4780,0.9560
69,data_clean\train\def_front\cast_def_0_3075.jpeg,train,0.4778,0.9556
70,data_clean\train\def_front\cast_def_0_5719.jpeg,train,0.4769,0.9539
71,data_clean\val\def_front\new__0_3255.jpeg,val,0.4766,0.9533
72,data_clean\train\def_front\cast_def_0_959.jpeg,train,0.4766,0.9533
