epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.128894,94.540981,0.19394,93.435754,27.36,0.0001
1,0.09263,97.078272,0.150241,93.575419,27.94,0.0001
2,0.057486,98.508381,0.007958,99.72067,27.7,0.0001
3,0.032418,99.108104,0.002052,100.0,28.61,0.0001
4,0.03113,99.231124,0.001361,100.0,26.6,0.0001
5,0.028703,99.108104,0.015911,99.441341,29.43,0.0001
6,0.029025,99.215747,0.04992,98.184358,23.8,0.0001
7,0.02733,99.154237,0.004868,99.860335,18.69,0.0001
8,0.01879,99.384899,0.004717,99.72067,18.39,0.0001
9,0.037001,98.877441,0.008052,99.860335,18.48,0.0001
10,0.017061,99.507919,0.000281,100.0,18.4,0.0001
11,0.024683,99.277257,0.005159,100.0,18.18,0.0001
12,0.024674,99.277257,0.003557,99.860335,18.26,0.0001
13,0.016723,99.477164,0.060841,97.765363,18.31,0.0001
14,0.015462,99.507919,0.008356,99.581006,18.26,0.0001
15,0.017537,99.384899,0.00029,100.0,18.15,0.0001
16,0.009613,99.738582,0.00042,100.0,18.17,0.0001
17,0.033469,99.015839,0.002261,99.860335,18.36,0.0001
18,0.010715,99.646317,0.000483,100.0,18.23,0.0001
19,0.006682,99.723205,4e-06,100.0,18.29,0.0001
20,0.019482,99.431032,3.3e-05,100.0,18.25,0.0001
21,0.012967,99.523297,0.001627,100.0,18.21,0.0001
22,0.010904,99.69245,0.04663,98.044693,18.43,0.0001
23,0.010042,99.63094,0.003596,99.860335,18.2,0.0001
24,0.006325,99.738582,4.2e-05,100.0,18.39,0.0001
25,0.024828,99.138859,0.066748,98.184358,18.19,0.0001
26,0.012025,99.554052,0.000371,100.0,18.35,0.0001
27,0.012801,99.600185,0.01685,99.581006,18.22,0.0001
28,0.011522,99.600185,0.012458,99.581006,18.38,0.0001
29,0.006846,99.738582,0.247886,97.625698,18.18,0.0001
30,0.025012,99.400277,0.039259,98.044693,18.19,0.0001
31,0.014718,99.461787,0.006213,99.72067,18.26,0.0001
32,0.004992,99.830847,0.033321,99.022346,18.22,0.0001
33,0.010727,99.661695,0.011758,99.441341,18.24,0.0001
34,0.008744,99.677072,0.158516,95.949721,18.26,1e-05
35,0.004532,99.784715,0.000166,100.0,18.35,1e-05
36,0.001863,99.907735,4.7e-05,100.0,18.17,1e-05
37,0.001896,99.892357,2e-05,100.0,18.25,1e-05
38,0.001468,99.93849,2e-05,100.0,18.2,1e-05
39,0.001537,99.923112,9e-06,100.0,18.31,1e-05
40,0.001259,99.969245,1e-06,100.0,18.24,1e-05
41,0.00086,99.969245,0.0,100.0,18.18,1e-05
42,0.000801,99.93849,0.0,100.0,18.39,1e-05
43,0.001972,99.907735,1e-06,100.0,18.15,1e-05
44,0.001353,99.953867,0.0,100.0,18.16,1e-05
45,0.000835,99.969245,0.0,100.0,18.21,1e-05
46,0.000754,99.953867,0.0,100.0,18.44,1e-05
47,0.000825,99.953867,0.0,100.0,18.26,1e-05
48,0.000529,99.984622,0.0,100.0,18.35,1e-05
49,0.000456,99.969245,0.0,100.0,18.52,1e-05
50,0.00046,99.969245,0.0,100.0,18.31,1e-05
51,0.000494,99.984622,0.0,100.0,18.29,1e-05
52,0.000155,100.0,0.0,100.0,18.25,1e-05
53,0.000191,99.984622,0.0,100.0,18.36,1e-05
54,0.001082,99.969245,0.0,100.0,18.26,1e-05
55,0.000122,100.0,0.0,100.0,18.32,1e-05
56,0.001586,99.93849,0.0,100.0,18.35,1e-05
57,0.000449,99.984622,0.0,100.0,18.25,1e-05
58,0.000557,99.969245,0.0,100.0,18.08,1e-05
59,6.5e-05,100.0,0.0,100.0,18.36,1e-05
60,8.3e-05,100.0,0.0,100.0,18.36,1e-05
61,2.4e-05,100.0,0.0,100.0,18.17,1e-05
62,0.000215,100.0,8.5e-05,100.0,18.18,1e-05
63,0.000696,99.953867,0.0,100.0,18.22,1e-05
64,0.001664,99.984622,0.0,100.0,18.3,1e-05
65,0.000314,100.0,0.0,100.0,18.28,1e-05
66,8.5e-05,100.0,0.0,100.0,18.15,1e-05
67,1.2e-05,100.0,0.0,100.0,18.3,1e-05
68,4.6e-05,100.0,0.0,100.0,18.18,1e-05
69,1.6e-05,100.0,0.0,100.0,18.17,1.0000000000000002e-06
70,6e-06,100.0,0.0,100.0,18.15,1.0000000000000002e-06
71,5e-06,100.0,0.0,100.0,18.28,1.0000000000000002e-06
72,3e-06,100.0,0.0,100.0,18.46,1.0000000000000002e-06
73,1.5e-05,100.0,0.0,100.0,19.19,1.0000000000000002e-06
74,3e-06,100.0,0.0,100.0,18.54,1.0000000000000002e-06
75,2e-06,100.0,0.0,100.0,18.39,1.0000000000000002e-06
76,3e-06,100.0,0.0,100.0,18.28,1.0000000000000002e-06
77,2e-06,100.0,0.0,100.0,18.27,1.0000000000000002e-06
78,7e-06,100.0,0.0,100.0,18.4,1.0000000000000002e-06
79,5e-06,100.0,0.0,100.0,18.18,1.0000000000000002e-06
80,5e-06,100.0,0.0,100.0,18.22,1.0000000000000002e-06
81,2e-06,100.0,0.0,100.0,18.35,1.0000000000000002e-06
82,2e-06,100.0,0.0,100.0,18.4,1.0000000000000002e-06
83,2e-06,100.0,0.0,100.0,18.12,1.0000000000000002e-06
84,1e-06,100.0,0.0,100.0,18.21,1.0000000000000002e-06
85,1e-06,100.0,0.0,100.0,18.27,1.0000000000000002e-06
86,2e-06,100.0,0.0,100.0,18.19,1.0000000000000002e-06
87,1e-06,100.0,0.0,100.0,18.4,1.0000000000000002e-06
88,2e-06,100.0,0.0,100.0,18.2,1.0000000000000002e-06
89,7e-06,100.0,0.0,100.0,18.27,1.0000000000000002e-06
90,2e-06,100.0,0.0,100.0,18.2,1.0000000000000002e-06
91,1e-06,100.0,0.0,100.0,18.2,1.0000000000000002e-06
92,0.0,100.0,0.0,100.0,18.2,1.0000000000000002e-06
93,4e-06,100.0,0.0,100.0,18.35,1.0000000000000002e-06
94,0.0,100.0,0.0,100.0,52.36,1.0000000000000002e-06
95,0.0,100.0,0.0,100.0,20.09,1.0000000000000002e-06
96,0.0,100.0,0.0,100.0,18.82,1.0000000000000002e-06
97,1e-06,100.0,0.0,100.0,18.75,1.0000000000000002e-06
98,1e-06,100.0,0.0,100.0,18.84,1.0000000000000002e-06
99,0.0,100.0,0.0,100.0,18.52,1.0000000000000002e-06
