epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.286801,86.672697,0.426175,87.832168,24.89,0.0001
1,0.076366,97.617971,0.024,99.58042,25.07,0.0001
2,0.051686,98.462234,0.033547,98.881119,25.97,0.0001
3,0.052966,98.507463,0.035467,99.020979,26.32,0.0001
4,0.047171,98.733605,0.024464,99.440559,26.17,0.0001
5,0.047022,98.537615,0.043655,99.300699,25.98,0.0001
6,0.057164,98.20594,0.020606,99.440559,25.91,0.0001
7,0.03014,99.06528,0.02189,99.300699,25.86,0.0001
8,0.038893,98.944671,0.028557,99.58042,26.24,0.0001
9,0.03432,99.080356,0.016023,99.58042,26.16,0.0001
10,0.036762,98.989899,0.01885,99.58042,25.71,0.0001
11,0.033308,99.080356,0.017537,99.58042,25.47,0.0001
12,0.030281,99.291422,0.02874,99.300699,25.86,0.0001
13,0.031712,99.035127,0.011921,99.72028,25.5,0.0001
14,0.022009,99.381878,0.012474,99.58042,25.75,0.0001
15,0.038767,98.929594,0.017946,99.58042,26.04,0.0001
16,0.024944,99.396955,0.016694,99.58042,26.02,0.0001
17,0.022607,99.396955,0.031205,99.58042,26.12,0.0001
18,0.022972,99.457259,0.021514,99.58042,25.72,0.0001
19,0.031715,99.110508,0.0186,99.440559,28.64,0.0001
20,0.027968,99.185889,0.014547,99.58042,27.33,0.0001
21,0.036928,98.808985,0.099195,96.783217,27.67,0.0001
22,0.03,99.276346,0.011725,99.72028,27.28,0.0001
23,0.02086,99.412031,0.010537,99.58042,27.17,0.0001
24,0.020732,99.517564,0.020803,99.440559,27.56,0.0001
25,0.025949,99.291422,0.010391,99.72028,27.28,0.0001
26,0.0141,99.608021,0.009702,99.72028,26.99,0.0001
27,0.015602,99.638173,0.016901,99.58042,27.33,0.0001
28,0.034984,98.929594,0.012658,99.58042,27.27,0.0001
29,0.016243,99.562792,0.011215,99.58042,27.52,0.0001
30,0.021835,99.396955,0.013496,99.86014,27.12,0.0001
31,0.018149,99.53264,0.010932,99.72028,28.56,0.0001
32,0.022341,99.366802,0.009839,99.58042,26.82,0.0001
33,0.025072,99.351726,0.01405,99.58042,26.75,0.0001
34,0.025302,99.321574,0.01357,99.58042,27.26,1e-05
35,0.010189,99.698477,0.01144,99.58042,27.28,1e-05
36,0.009489,99.72863,0.010835,99.58042,27.28,1e-05
37,0.009084,99.72863,0.008818,99.58042,27.29,1e-05
38,0.008985,99.683401,0.006458,99.86014,28.91,1e-05
39,0.007957,99.758782,0.00894,99.58042,28.22,1e-05
40,0.007804,99.743706,0.005995,99.72028,26.25,1e-05
41,0.007631,99.743706,0.005201,100.0,25.72,1e-05
42,0.007784,99.72863,0.00552,99.86014,25.58,1e-05
43,0.007491,99.758782,0.004907,99.86014,25.78,1e-05
44,0.007501,99.773858,0.005966,99.72028,25.97,1e-05
45,0.007494,99.773858,0.007241,99.86014,25.72,1e-05
46,0.007346,99.72863,0.006935,99.72028,25.92,1e-05
47,0.008447,99.698477,0.004334,100.0,25.9,1e-05
48,0.007213,99.758782,0.006132,99.86014,25.98,1e-05
49,0.007184,99.773858,0.011104,99.72028,26.06,1e-05
50,0.00801,99.72863,0.008933,99.72028,25.85,1e-05
51,0.007263,99.743706,0.00728,99.72028,26.01,1e-05
52,0.007119,99.72863,0.015074,99.58042,25.76,1e-05
53,0.008067,99.72863,0.005823,99.72028,26.22,1e-05
54,0.007247,99.758782,0.005198,99.86014,26.09,1e-05
55,0.008137,99.72863,0.007089,99.58042,25.87,1e-05
56,0.008264,99.72863,0.00767,99.58042,25.83,1e-05
57,0.007558,99.758782,0.005527,99.72028,26.03,1e-05
58,0.007291,99.758782,0.006035,99.86014,25.97,1e-05
59,0.007354,99.743706,0.009185,99.72028,26.25,1e-05
60,0.007002,99.72863,0.01098,99.72028,26.29,1e-05
61,0.008027,99.72863,0.003439,100.0,26.28,1e-05
62,0.007003,99.758782,0.004116,100.0,25.68,1e-05
63,0.008559,99.743706,0.004024,99.86014,25.72,1e-05
64,0.007098,99.758782,0.004057,100.0,25.81,1e-05
65,0.006824,99.743706,0.003126,100.0,25.57,1e-05
66,0.007248,99.743706,0.005145,99.86014,25.54,1e-05
67,0.007013,99.758782,0.002212,100.0,25.72,1e-05
68,0.007171,99.743706,0.005549,99.72028,25.63,1e-05
69,0.00741,99.758782,0.004332,100.0,25.94,1.0000000000000002e-06
70,0.006719,99.72863,0.004102,100.0,25.96,1.0000000000000002e-06
71,0.007723,99.743706,0.003768,100.0,25.64,1.0000000000000002e-06
72,0.00676,99.743706,0.003741,100.0,25.96,1.0000000000000002e-06
73,0.006369,99.773858,0.00351,100.0,26.0,1.0000000000000002e-06
74,0.006768,99.743706,0.003437,100.0,25.97,1.0000000000000002e-06
75,0.007232,99.743706,0.003226,100.0,25.78,1.0000000000000002e-06
76,0.007051,99.72863,0.003042,100.0,25.7,1.0000000000000002e-06
77,0.006381,99.758782,0.002975,100.0,26.31,1.0000000000000002e-06
78,0.005707,99.773858,0.002823,100.0,26.08,1.0000000000000002e-06
79,0.006841,99.758782,0.00281,100.0,26.61,1.0000000000000002e-06
80,0.006819,99.758782,0.002874,100.0,27.76,1.0000000000000002e-06
81,0.006081,99.758782,0.002633,100.0,28.43,1.0000000000000002e-06
82,0.006485,99.758782,0.002651,100.0,28.63,1.0000000000000002e-06
83,0.006409,99.758782,0.002878,100.0,27.84,1.0000000000000002e-06
84,0.006738,99.773858,0.002976,100.0,28.69,1.0000000000000002e-06
85,0.006631,99.758782,0.003084,100.0,27.17,1.0000000000000002e-06
86,0.007183,99.72863,0.00319,100.0,26.38,1.0000000000000002e-06
87,0.006871,99.743706,0.00315,100.0,25.94,1.0000000000000002e-06
88,0.006313,99.773858,0.003158,100.0,26.26,1.0000000000000002e-06
89,0.006273,99.788934,0.003022,100.0,26.25,1.0000000000000002e-06
90,0.006418,99.773858,0.003049,100.0,25.8,1.0000000000000002e-06
91,0.006441,99.743706,0.002969,100.0,25.92,1.0000000000000002e-06
92,0.006469,99.758782,0.002961,100.0,25.77,1.0000000000000002e-06
93,0.00628,99.788934,0.002889,100.0,25.75,1.0000000000000002e-06
94,0.00645,99.773858,0.002817,100.0,25.86,1.0000000000000002e-06
95,0.00654,99.758782,0.002839,100.0,25.62,1.0000000000000002e-06
96,0.005634,99.788934,0.002888,100.0,26.11,1.0000000000000002e-06
97,0.006658,99.758782,0.002779,100.0,25.73,1.0000000000000002e-06
98,0.006173,99.743706,0.002828,100.0,25.39,1.0000000000000002e-06
99,0.006352,99.773858,0.002749,100.0,25.68,1.0000000000000002e-06
