group,residual,angle,file_a,split_a,file_b,split_b,class
93,0.29,0.0,data_clean\train\def_front\cast_def_0_1709.jpeg,train,data_clean\train\def_front\cast_def_0_21.jpeg,train,def_front
1671,0.51,0.0,data_clean\train\def_front\cast_def_0_4973.jpeg,train,data_clean\train\def_front\cast_def_0_8161.jpeg,train,def_front
237,0.59,0.0,data_clean\train\def_front\cast_def_0_7581.jpeg,train,data_clean\train\def_front\cast_def_0_8909.jpeg,train,def_front
195,0.66,0.0,data_clean\train\def_front\cast_def_0_6895.jpeg,train,data_clean\train\def_front\cast_def_0_8149.jpeg,train,def_front
1988,0.75,0.0,data_clean\train\def_front\cast_def_0_6909.jpeg,train,data_clean\train\def_front\cast_def_0_9835.jpeg,train,def_front
424,0.85,0.0,data_clean\train\def_front\cast_def_0_5987.jpeg,train,data_clean\train\def_front\cast_def_0_8170.jpeg,train,def_front
157,0.90,0.0,data_clean\train\ok_front\cast_ok_0_5338.jpeg,train,data_clean\train\ok_front\cast_ok_0_8383.jpeg,train,ok_front
226,0.93,0.0,data_clean\train\def_front\cast_def_0_670.jpeg,train,data_clean\train\def_front\cast_def_0_8723.jpeg,train,def_front
986,0.94,0.0,data_clean\train\ok_front\cast_ok_0_3463.jpeg,train,data_clean\val\ok_front\cast_ok_0_5815.jpeg,val,ok_front
1580,0.96,0.0,data_clean\train\def_front\cast_def_0_2866.jpeg,train,data_clean\train\def_front\cast_def_0_7597.jpeg,train,def_front
404,1.03,0.0,data_clean\train\def_front\cast_def_0_4868.jpeg,train,data_clean\train\def_front\cast_def_0_8852.jpeg,train,def_front
918,1.05,0.0,data_clean\train\ok_front\cast_ok_0_3578.jpeg,train,data_clean\train\ok_front\cast_ok_0_7673.jpeg,train,ok_front
207,1.13,0.0,data_clean\train\def_front\cast_def_0_3799.jpeg,train,data_clean\train\def_front\cast_def_0_811.jpeg,train,def_front
344,1.14,0.0,data_clean\train\ok_front\cast_ok_0_4007.jpeg,train,data_clean\train\ok_front\cast_ok_0_9532.jpeg,train,ok_front
764,1.17,0.0,data_clean\train\def_front\cast_def_0_3219.jpeg,train,data_clean\train\def_front\cast_def_0_7600.jpeg,train,def_front
188,1.18,0.0,data_clean\train\def_front\cast_def_0_1182.jpeg,train,data_clean\train\def_front\cast_def_0_941.jpeg,train,def_front
466,1.21,0.0,data_clean\train\def_front\cast_def_0_4388.jpeg,train,data_clean\train\def_front\cast_def_0_8529.jpeg,train,def_front
108,1.23,0.0,data_clean\train\def_front\cast_def_0_7614.jpeg,train,data_clean\train\def_front\cast_def_0_9147.jpeg,train,def_front
1923,1.32,0.0,data_clean\train\def_front\cast_def_0_376.jpeg,train,data_clean\train\def_front\cast_def_0_5689.jpeg,train,def_front
93,1.33,0.0,data_clean\train\def_front\cast_def_0_5251.jpeg,train,data_clean\val\def_front\cast_def_0_2211.jpeg,val,def_front
1304,1.38,0.0,data_clean\train\ok_front\cast_ok_0_184.jpeg,train,data_clean\train\ok_front\cast_ok_0_4638.jpeg,train,ok_front
77,1.48,0.0,data_clean\train\def_front\cast_def_0_3541.jpeg,train,data_clean\train\def_front\cast_def_0_9818.jpeg,train,def_front
1145,1.50,0.0,data_clean\train\def_front\cast_def_0_2762.jpeg,train,data_clean\train\def_front\cast_def_0_982.jpeg,train,def_front
218,1.51,354.0,data_clean\train\def_front\cast_def_0_9006.jpeg,train,data_clean\train\def_front\cast_def_0_9220.jpeg,train,def_front
436,1.52,356.0,data_clean\train\def_front\cast_def_0_4893.jpeg,train,data_clean\train\def_front\cast_def_0_895.jpeg,train,def_front
647,1.57,4.0,data_clean\train\def_front\cast_def_0_5576.jpeg,train,data_clean\train\def_front\cast_def_0_9874.jpeg,train,def_front
221,1.58,180.0,data_clean\train\def_front\cast_def_0_2499.jpeg,train,data_clean\train\def_front\cast_def_0_4785.jpeg,train,def_front
1011,1.60,0.0,data_clean\train\ok_front\cast_ok_0_584.jpeg,train,data_clean\train\ok_front\cast_ok_0_6478.jpeg,train,ok_front
1702,1.60,0.0,data_clean\train\def_front\cast_def_0_5898.jpeg,train,data_clean\train\def_front\cast_def_0_9259.jpeg,train,def_front
1030,1.61,0.0,data_clean\train\ok_front\cast_ok_0_5837.jpeg,train,data_clean\val\ok_front\cast_ok_0_935.jpeg,val,ok_front
255,1.63,0.0,data_clean\train\def_front\cast_def_0_9826.jpeg,train,data_clean\val\def_front\cast_def_0_450.jpeg,val,def_front
1775,1.63,0.0,data_clean\train\ok_front\cast_ok_0_1902.jpeg,train,data_clean\train\ok_front\cast_ok_0_7857.jpeg,train,ok_front
248,1.63,354.0,data_clean\train\ok_front\cast_ok_0_3158.jpeg,train,data_clean\train\ok_front\cast_ok_0_6582.jpeg,train,ok_front
844,1.64,6.0,data_clean\train\def_front\cast_def_0_7394.jpeg,train,data_clean\train\def_front\cast_def_0_882.jpeg,train,def_front
214,1.65,0.0,data_clean\train\def_front\cast_def_0_6167.jpeg,train,data_clean\train\def_front\cast_def_0_9421.jpeg,train,def_front
1516,1.65,0.0,data_clean\train\def_front\cast_def_0_5770.jpeg,train,data_clean\train\def_front\cast_def_0_6124.jpeg,train,def_front
669,1.67,0.0,data_clean\train\def_front\cast_def_0_6143.jpeg,train,data_clean\val\def_front\cast_def_0_504.jpeg,val,def_front
1740,1.67,0.0,data_clean\train\def_front\cast_def_0_8697.jpeg,train,data_clean\train\def_front\cast_def_0_992.jpeg,train,def_front
348,1.67,0.0,data_clean\train\ok_front\cast_ok_0_6807.jpeg,train,data_clean\train\ok_front\cast_ok_0_7214.jpeg,train,ok_front
76,1.67,358.0,data_clean\train\def_front\cast_def_0_2129.jpeg,train,data_clean\train\def_front\cast_def_0_8615.jpeg,train,def_front
256,1.68,8.0,data_clean\train\def_front\cast_def_0_5354.jpeg,train,data_clean\val\def_front\cast_def_0_2451.jpeg,val,def_front
143,1.69,354.0,data_clean\train\ok_front\cast_ok_0_1545.jpeg,train,data_clean\train\ok_front\cast_ok_0_233.jpeg,train,ok_front
89,1.69,0.0,data_clean\train\def_front\cast_def_0_8227.jpeg,train,data_clean\train\def_front\cast_def_0_895.jpeg,train,def_front
112,1.70,0.0,data_clean\train\def_front\cast_def_0_7887.jpeg,train,data_clean\train\def_front\cast_def_0_9744.jpeg,train,def_front
112,1.72,356.0,data_clean\train\def_front\cast_def_0_7118.jpeg,train,data_clean\train\def_front\cast_def_0_9744.jpeg,train,def_front
14,1.73,352.0,data_clean\train\def_front\cast_def_0_9155.jpeg,train,data_clean\train\def_front\cast_def_0_9381.jpeg,train,def_front
127,1.73,0.0,data_clean\train\ok_front\cast_ok_0_1099.jpeg,train,data_clean\train\ok_front\cast_ok_0_539.jpeg,train,ok_front
823,1.73,6.0,data_clean\train\def_front\cast_def_0_5147.jpeg,train,data_clean\train\def_front\cast_def_0_7694.jpeg,train,def_front
3,1.73,356.0,data_clean\train\def_front\cast_def_0_2624.jpeg,train,data_clean\val\def_front\cast_def_0_197.jpeg,val,def_front
244,1.74,6.0,data_clean\train\def_front\cast_def_0_3973.jpeg,train,data_clean\train\def_front\cast_def_0_6281.jpeg,train,def_front
342,1.75,356.0,data_clean\val\ok_front\cast_ok_0_2732.jpeg,val,data_clean\val\ok_front\cast_ok_0_2848.jpeg,val,ok_front
19,1.75,358.0,data_clean\train\ok_front\cast_ok_0_3880.jpeg,train,data_clean\train\ok_front\cast_ok_0_7115.jpeg,train,ok_front
